Data;Precipitação Total Diária;Pressão Média Diária;Radiação Total;Temperatura Média Diária;Temperatura Máxima;Temperatura Mínima;Umidade Máxima;Umidade Mínima;Velocidade do Vento;Cidade
2023/01/01;0,8;1004,7875;16946,2;25,72083333333333;31,8;23,0;96,0;60,0;1,5916666666666668;Manaus
2023/01/02;1,2;1004,8000000000001;12165,3;26,125;32,5;24,3;93,0;58,0;1,3416666666666668;Manaus
2023/01/03;12,4;1005,1291666666666;7731,900000000001;24,900000000000002;29,0;22,8;97,0;71,0;1,0791666666666666;Manaus
2023/01/04;0,0;1004,5958333333333;16815,4;27,129166666666666;32,0;23,9;93,0;54,0;1,4458333333333335;Manaus
2023/01/05;2,0;1004,8478260869565;12621,6;27,243478260869566;32,4;24,2;93,0;56,0;1,1434782608695653;Manaus
2023/01/06;21,4;1006,1583333333333;9077,3;25,108333333333334;28,2;22,6;97,0;74,0;1,1208333333333333;Manaus
2023/01/07;0,0;1005,9956521739131;22110,5;27,808695652173913;33,6;24,7;94,0;49,0;1,4000000000000001;Manaus
2023/01/08;1,2;1006,1583333333333;11927,5;27,224999999999998;32,5;24,7;94,0;58,0;0,9708333333333333;Manaus
2023/01/09;13,8;1005,4761904761905;8343,0;25,414285714285718;32,0;22,5;96,0;64,0;0,9761904761904762;Manaus
2023/01/10;7,0;1006,4304347826088;9125,8;24,52173913043478;28,2;22,7;96,0;71,0;0,9434782608695652;Manaus
2023/01/11;0,0;1005,6217391304348;21046,8;27,29565217391304;32,6;24,5;93,0;56,0;1,7608695652173914;Manaus
2023/01/12;2,6;1004,2913043478261;18974,3;27,686956521739127;32,7;24,2;92,0;56,0;1,5782608695652172;Manaus
2023/01/13;33,6;1004,2708333333334;5146,2;25,383333333333336;27,8;22,5;97,0;75,0;0,9625;Manaus
2023/01/14;5,2;1005,5272727272727;14770,9;25,472727272727273;30,2;22,2;95,0;62,0;1,5545454545454547;Manaus
2023/01/15;0,0;1005,7083333333334;13354,5;26,920833333333334;31,1;24,2;93,0;60,0;1,5541666666666665;Manaus
2023/01/16;34,800000000000004;1004,4583333333334;14371,1;26,525000000000002;31,9;23,5;98,0;57,0;1,1708333333333334;Manaus
2023/01/17;10,799999999999999;1004,8958333333334;5355,2;24,241666666666664;26,8;23,3;96,0;77,0;1,0;Manaus
2023/01/18;3,8000000000000003;1006,0291666666667;13201,9;25,666666666666668;30,9;22,8;97,0;57,0;1,0291666666666666;Manaus
2023/01/19;0,0;1006,2708333333334;13414,6;25,34583333333333;30,8;22,7;89,0;60,0;2,025;Manaus
2023/01/20;9,8;1006,2391304347826;6933,6;24,791304347826088;27,3;22,0;95,0;73,0;1,1695652173913043;Manaus
2023/01/21;0,0;1005,4090909090909;13448,9;25,75909090909091;32,3;23,1;96,0;60,0;1,059090909090909;Manaus
2023/01/22;5,0;1004,6458333333334;10339,6;25,03333333333333;30,8;22,1;95,0;61,0;1,1125;Manaus
2023/01/23;4,8;1005,3000000000001;16464,6;25,969565217391303;32,1;22,4;97,0;56,0;1,317391304347826;Manaus
2023/01/24;26,6;1004,8083333333334;10964,6;25,787499999999998;30,5;23,9;96,0;66,0;0,725;Manaus
