Data;Hora ;PRECIPITAÇÃO TOTAL- HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO- HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO- HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR- HORARIA (%);VENTO- DIREÇÃO HORARIA (gr) (° (gr));VENTO- RAJADA MAXIMA (m/s);VENTO- VELOCIDADE HORARIA (m/s);
2023/01/01;0000;0;950.7;950.7;950.3;;19;19;20.1;19;19.7;19;100;93;100;205;3;0;
2023/01/01;0100;0;951;951;950.4;;19.2;19.2;19.6;19;19.6;19;100;100;100;86;1.8;0;
2023/01/01;0200;0;950.4;951;950.4;;19.2;19.2;19.8;19;19.8;19;100;100;100;136;2.9;0;
2023/01/01;0300;0;949.6;950.4;949.6;;18.7;18.7;19.9;18.7;19.9;18.7;100;100;100;172;2.3;0;
2023/01/01;0400;0;948.8;949.6;948.8;;18.9;18.9;18.9;18.6;18.9;18.6;100;100;100;149;2.2;1.2;
2023/01/01;0500;0;948.2;948.8;948.2;;19.2;19.2;19.2;18.8;19.2;18.8;100;100;100;106;2.1;0;
2023/01/01;0600;0;947.8;948.2;947.8;;18.8;18.8;19.2;18.6;19.3;18.6;100;100;100;296;1.7;0;
2023/01/01;0700;0;947.9;947.9;947.6;;18.6;18.6;19;18.6;19;18.6;100;100;100;182;1.2;0;
2023/01/01;0800;0;948.5;948.5;947.9;;18.3;18.3;18.7;18.1;18.7;18.1;100;100;100;307;1.6;0;
2023/01/01;0900;.2;948.9;948.9;948.5;54.4;19;19;19.2;18.1;19.1;18.1;100;100;100;101;1.4;0;
2023/01/01;1000;0;949.8;949.8;948.9;747.3;20.7;20.7;20.7;18.5;20.7;18.5;100;100;100;292;2.5;.1;
2023/01/01;1100;0;950.1;950.1;949.8;1617.7;23.2;19.1;23.5;20.7;21.9;18.9;100;77;78;67;4.4;1.9;
2023/01/01;1200;0;950.4;950.5;950.1;2121.9;24.6;19;24.7;23.1;20.4;18.7;82;71;71;57;4.4;1;
2023/01/01;1300;0;950.3;950.6;950.3;2979.4;26.2;18.8;26.9;24.5;20.6;18.2;77;62;64;322;3.6;.5;
2023/01/01;1400;.2;949.7;950.3;949.7;3658.2;28.3;20;28.3;26.1;20.4;17.9;66;56;61;308;3.7;1.6;
2023/01/01;1500;0;949;949.7;949;3942.8;28.7;18.6;29.4;27.7;20.6;17.9;64;52;54;306;4.4;.8;
2023/01/01;1600;0;948.1;949;948.1;2407.9;29.1;19.5;29.1;28;20.5;18.1;61;54;56;234;4.2;.7;
2023/01/01;1700;0;947.2;948.1;947.2;1824.2;28.6;19.2;29.6;28.4;20.3;18.5;60;54;57;219;3.2;.4;
2023/01/01;1800;0;946.8;947.6;946.8;1343.2;28.7;20.4;28.7;26.9;20.9;18.7;67;55;61;246;5.9;1.1;
2023/01/01;1900;0;947.3;947.3;946.2;1563.6;27;20.3;29.4;27;20.7;18.9;67;56;67;250;4.9;.6;
2023/01/01;2000;0;946.2;947.3;946.2;518.6;26.3;20.4;27;26.3;20.4;19.4;70;64;70;169;3.8;.2;
2023/01/01;2100;0;947.2;947.3;946.2;143.6;25.7;18.9;26.3;25;20.8;18.5;74;64;66;134;3.8;0;
2023/01/01;2200;0;947.6;947.6;946.9;42.5;24;18.7;25.7;23.8;20.1;18.3;76;66;72;98;4.4;.4;
2023/01/01;2300;0;948.8;948.8;947.6;;22.6;18.9;24.5;22.6;18.9;17.7;80;66;80;76;8.2;4;
2023/01/02;0000;0;949.6;949.6;948.7;;22;19.2;22.6;22;19.3;19;84;80;84;75;8.2;2.3;
2023/01/02;0100;0;949.8;950;949.6;;21.7;18.2;22.1;21.6;19.1;18.1;84;80;80;86;5.4;1.5;
2023/01/02;0200;0;949.5;949.8;949;;21.4;17.5;22;21.3;18.1;17.4;81;76;78;40;6.6;.7;
