Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;8;1;1;2;10;14;36
..Janeiro/2006;-;-;-;-;1;2;3
..Fevereiro/2006;2;-;-;-;1;1;4
..Mar�o/2006;-;-;-;-;-;3;3
..Abril/2006;1;1;1;-;-;2;5
..Maio/2006;-;-;-;-;2;2;4
..Junho/2006;1;-;-;-;2;-;3
..Julho/2006;1;-;-;-;1;1;3
..Agosto/2006;1;-;-;-;1;-;2
..Setembro/2006;1;-;-;-;1;-;2
..Outubro/2006;-;-;-;1;-;2;3
..Novembro/2006;1;-;-;1;1;-;3
..Dezembro/2006;-;-;-;-;-;1;1
2007;3;3;1;1;8;18;34
..Janeiro/2007;-;-;-;-;1;4;5
..Fevereiro/2007;-;-;-;-;1;1;2
..Mar�o/2007;-;-;-;-;-;2;2
..Abril/2007;-;1;-;-;-;4;5
..Junho/2007;-;-;1;1;2;2;6
..Julho/2007;1;-;-;-;-;2;3
..Agosto/2007;1;1;-;-;1;-;3
..Setembro/2007;1;-;-;-;1;1;3
..Outubro/2007;-;-;-;-;-;1;1
..Novembro/2007;-;1;-;-;2;1;4
2008;2;1;2;6;4;48;63
..Janeiro/2008;1;-;-;-;-;1;2
..Fevereiro/2008;-;-;-;1;-;2;3
..Mar�o/2008;-;-;-;1;-;5;6
..Abril/2008;-;-;-;-;2;9;11
..Maio/2008;-;-;-;-;1;8;9
..Junho/2008;-;-;-;1;-;3;4
..Julho/2008;-;-;-;-;1;5;6
..Agosto/2008;-;-;-;-;-;3;3
..Setembro/2008;-;-;1;-;-;3;4
..Outubro/2008;-;-;-;1;-;2;3
..Novembro/2008;1;-;-;1;-;4;6
..Dezembro/2008;-;1;1;1;-;3;6
2009;5;1;3;9;4;30;52
..Janeiro/2009;-;-;1;-;-;1;2
..Fevereiro/2009;1;-;-;-;-;1;2
..Mar�o/2009;-;1;-;-;-;3;4
..Abril/2009;-;-;1;-;1;5;7
..Maio/2009;1;-;-;4;-;4;9
..Junho/2009;1;-;1;-;1;2;5
..Julho/2009;-;-;-;1;1;2;4
..Agosto/2009;1;-;-;2;-;5;8
..Setembro/2009;-;-;-;1;1;6;8
..Outubro/2009;1;-;-;1;-;-;2
..Novembro/2009;-;-;-;-;-;1;1
2010;2;2;2;9;6;35;56
..Janeiro/2010;-;-;1;2;-;2;5
..Fevereiro/2010;-;1;-;1;1;1;4
..Mar�o/2010;-;-;-;-;-;1;1
..Abril/2010;1;1;-;1;-;4;7
..Maio/2010;-;-;-;-;1;1;2
..Junho/2010;-;-;1;1;1;5;8
..Julho/2010;1;-;-;1;1;1;4
..Agosto/2010;-;-;-;1;-;3;4
..Setembro/2010;-;-;-;-;-;5;5
..Outubro/2010;-;-;-;1;-;3;4
..Novembro/2010;-;-;-;1;1;5;7
..Dezembro/2010;-;-;-;-;1;4;5
2011;8;2;1;3;5;37;56
..Fevereiro/2011;-;-;-;-;1;2;3
