Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;20;3;7;14;20;69;133
..Janeiro/2006;4;-;1;-;1;10;16
..Fevereiro/2006;2;-;-;1;3;3;9
..Mar�o/2006;2;-;-;1;3;8;14
..Abril/2006;-;-;2;3;4;4;13
..Maio/2006;2;-;1;2;1;8;14
..Junho/2006;3;1;1;-;2;9;16
..Julho/2006;3;2;-;2;-;5;12
..Agosto/2006;-;-;-;1;2;2;5
..Setembro/2006;2;-;1;-;2;4;9
..Outubro/2006;1;-;1;-;1;5;8
..Novembro/2006;-;-;-;4;-;5;9
..Dezembro/2006;1;-;-;-;1;6;8
2007;23;8;13;14;14;57;129
..Janeiro/2007;1;1;1;1;3;2;9
..Fevereiro/2007;2;-;1;1;-;2;6
..Mar�o/2007;4;1;2;2;-;5;14
..Abril/2007;2;2;1;-;3;3;11
..Maio/2007;2;-;1;-;-;4;7
..Junho/2007;1;1;2;-;-;9;13
..Julho/2007;2;1;-;1;1;7;12
..Agosto/2007;4;1;2;3;2;3;15
..Setembro/2007;1;-;2;-;3;4;10
..Outubro/2007;-;1;-;2;2;8;13
..Novembro/2007;2;-;1;3;-;4;10
..Dezembro/2007;2;-;-;1;-;6;9
2008;14;11;14;11;23;165;238
..Janeiro/2008;3;-;1;1;1;15;21
..Fevereiro/2008;-;1;-;-;1;8;10
..Mar�o/2008;1;-;3;2;5;11;22
..Abril/2008;2;3;-;-;4;23;32
..Maio/2008;1;2;1;1;-;24;29
..Junho/2008;1;-;1;1;-;8;11
..Julho/2008;-;-;-;2;3;11;16
..Agosto/2008;2;-;2;-;1;16;21
..Setembro/2008;3;3;3;1;1;12;23
..Outubro/2008;1;1;2;2;3;12;21
..Novembro/2008;-;1;-;-;1;14;16
..Dezembro/2008;-;-;1;1;3;11;16
2009;17;4;12;15;23;173;244
..Janeiro/2009;1;-;1;-;4;14;20
..Fevereiro/2009;-;-;2;1;1;10;14
..Mar�o/2009;2;1;1;-;4;15;23
..Abril/2009;2;1;-;3;3;20;29
..Maio/2009;1;-;1;1;1;16;20
..Junho/2009;1;1;1;1;1;14;19
..Julho/2009;2;-;1;3;-;15;21
..Agosto/2009;2;-;2;3;3;12;22
..Setembro/2009;-;1;1;1;3;14;20
..Outubro/2009;3;-;-;1;1;15;20
..Novembro/2009;1;-;1;1;-;16;19
..Dezembro/2009;2;-;1;-;2;12;17
2010;23;4;10;21;20;158;236
..Janeiro/2010;4;-;3;3;2;12;24
..Fevereiro/2010;-;-;-;1;3;12;16
..Mar�o/2010;3;-;-;2;1;8;14
..Abril/2010;4;1;1;1;-;11;18
..Maio/2010;2;2;2;2;2;18;28
