Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;6;1;1;3;3;19;33
..Janeiro/2006;-;-;-;1;-;1;2
..Fevereiro/2006;1;-;-;-;-;3;4
..Mar�o/2006;-;-;-;-;1;-;1
..Abril/2006;2;-;-;-;-;1;3
..Maio/2006;-;-;1;-;1;1;3
..Junho/2006;2;-;-;-;-;2;4
..Julho/2006;1;-;-;-;1;1;3
..Agosto/2006;-;-;-;-;-;2;2
..Setembro/2006;-;-;-;1;-;1;2
..Outubro/2006;-;-;-;-;-;2;2
..Novembro/2006;-;1;-;-;-;3;4
..Dezembro/2006;-;-;-;1;-;2;3
2007;3;3;2;-;1;15;24
..Janeiro/2007;-;-;-;-;-;1;1
..Mar�o/2007;1;-;1;-;-;1;3
..Abril/2007;-;1;-;-;-;-;1
..Maio/2007;-;-;-;-;-;2;2
..Junho/2007;-;-;-;-;-;3;3
..Julho/2007;-;-;-;-;1;5;6
..Agosto/2007;-;-;1;-;-;-;1
..Setembro/2007;-;1;-;-;-;2;3
..Outubro/2007;-;-;-;-;-;1;1
..Novembro/2007;-;1;-;-;-;-;1
..Dezembro/2007;2;-;-;-;-;-;2
2008;5;1;1;2;3;4;16
..Fevereiro/2008;-;-;-;1;-;-;1
..Mar�o/2008;-;-;-;-;1;1;2
..Abril/2008;1;-;-;-;-;1;2
..Maio/2008;1;-;-;-;-;-;1
..Junho/2008;3;-;-;-;1;-;4
..Julho/2008;-;-;-;-;1;-;1
..Setembro/2008;-;-;-;1;-;1;2
..Outubro/2008;-;-;1;-;-;-;1
..Dezembro/2008;-;1;-;-;-;1;2
2009;5;1;1;4;1;3;15
..Janeiro/2009;1;-;-;2;-;-;3
..Abril/2009;-;-;-;-;1;-;1
..Maio/2009;-;1;-;-;-;-;1
..Junho/2009;-;-;1;1;-;-;2
..Julho/2009;-;-;-;-;-;2;2
..Agosto/2009;1;-;-;-;-;-;1
..Setembro/2009;-;-;-;1;-;-;1
..Outubro/2009;-;-;-;-;-;1;1
..Novembro/2009;3;-;-;-;-;-;3
2010;4;-;1;7;3;2;17
..Janeiro/2010;1;-;-;-;-;-;1
..Fevereiro/2010;1;-;-;1;1;-;3
..Abril/2010;1;-;-;1;-;-;2
..Maio/2010;-;-;-;-;1;-;1
..Junho/2010;-;-;-;3;-;1;4
..Julho/2010;-;-;-;-;1;-;1
..Setembro/2010;1;-;-;2;-;-;3
..Outubro/2010;-;-;1;-;-;-;1
..Novembro/2010;-;-;-;-;-;1;1
2011;7;2;1;7;1;2;20
