Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;32;13;28;42;20;271;406
..Janeiro/2006;-;1;4;3;3;15;26
..Fevereiro/2006;1;1;3;4;2;18;29
..Mar�o/2006;1;1;3;3;1;27;36
..Abril/2006;4;3;2;1;3;23;36
..Maio/2006;7;-;2;3;1;37;50
..Junho/2006;2;1;2;3;2;29;39
..Julho/2006;4;1;1;3;4;26;39
..Agosto/2006;4;2;2;10;-;24;42
..Setembro/2006;2;1;2;3;2;18;28
..Outubro/2006;3;-;-;3;1;19;26
..Novembro/2006;2;1;5;4;1;18;31
..Dezembro/2006;2;1;2;2;-;17;24
2007;50;9;18;26;18;314;435
..Janeiro/2007;8;1;3;1;2;24;39
..Fevereiro/2007;3;-;2;4;2;23;34
..Mar�o/2007;3;1;1;2;3;22;32
..Abril/2007;2;-;3;1;1;29;36
..Maio/2007;2;1;1;4;2;21;31
..Junho/2007;5;2;2;5;1;33;48
..Julho/2007;4;-;-;3;3;30;40
..Agosto/2007;6;1;3;1;3;29;43
..Setembro/2007;4;-;-;1;-;31;36
..Outubro/2007;2;2;-;4;-;26;34
..Novembro/2007;4;-;2;-;1;23;30
..Dezembro/2007;7;1;1;-;-;23;32
2008;39;10;21;41;13;33;157
..Janeiro/2008;4;-;1;2;-;1;8
..Fevereiro/2008;5;1;-;3;1;3;13
..Mar�o/2008;4;1;3;4;1;2;15
..Abril/2008;3;1;1;5;2;1;13
..Maio/2008;4;1;3;4;1;4;17
..Junho/2008;3;-;3;7;-;3;16
..Julho/2008;2;-;1;2;-;4;9
..Agosto/2008;2;1;1;3;1;3;11
..Setembro/2008;6;3;4;3;2;4;22
..Outubro/2008;3;1;-;4;2;2;12
..Novembro/2008;1;-;-;2;1;1;5
..Dezembro/2008;2;1;4;2;2;5;16
2009;32;7;24;27;15;23;128
..Janeiro/2009;2;1;4;2;-;3;12
..Fevereiro/2009;2;1;3;2;-;4;12
..Mar�o/2009;5;-;3;3;4;1;16
..Abril/2009;1;-;2;3;4;4;14
..Maio/2009;1;1;1;3;1;2;9
..Junho/2009;4;-;1;4;-;4;13
..Julho/2009;6;-;3;4;-;2;15
..Agosto/2009;7;2;-;3;2;1;15
..Setembro/2009;2;1;2;1;-;1;7
..Outubro/2009;-;-;1;-;2;1;4
