Ano/m�s do �bito;35011 Alto do Tiet�;35012 Franco da Rocha;35013 Mananciais;35014 Rota dos Bandeirantes;35015 Grande ABC;35016 S�o Paulo;Total
2006;88;30;48;79;83;424;752
..Janeiro/2006;4;1;5;4;8;31;53
..Fevereiro/2006;8;1;3;7;9;31;59
..Mar�o/2006;3;1;4;6;6;40;60
..Abril/2006;8;5;5;8;9;37;72
..Maio/2006;15;1;5;5;12;51;89
..Junho/2006;8;5;4;6;8;44;75
..Julho/2006;10;5;3;7;11;36;72
..Agosto/2006;8;4;4;14;4;36;70
..Setembro/2006;7;1;4;5;6;26;49
..Outubro/2006;6;1;3;4;3;29;46
..Novembro/2006;4;3;6;9;3;33;58
..Dezembro/2006;7;2;2;4;4;30;49
2007;93;32;45;50;64;434;718
..Janeiro/2007;9;2;4;2;9;33;59
..Fevereiro/2007;6;1;5;5;4;31;52
..Mar�o/2007;9;2;5;5;5;33;59
..Abril/2007;5;4;5;1;4;37;56
..Maio/2007;7;2;4;4;7;31;55
..Junho/2007;8;4;6;8;3;49;78
..Julho/2007;7;4;2;5;6;47;71
..Agosto/2007;12;3;6;5;8;36;70
..Setembro/2007;7;2;3;1;8;41;62
..Outubro/2007;4;3;1;9;4;36;57
..Novembro/2007;7;4;3;3;4;29;50
..Dezembro/2007;12;1;1;2;2;31;49
2008;74;29;51;70;69;354;647
..Janeiro/2008;9;-;2;4;1;26;42
..Fevereiro/2008;7;2;-;5;5;20;39
..Mar�o/2008;7;2;8;8;8;25;58
..Abril/2008;8;4;1;7;14;50;84
..Maio/2008;6;5;6;6;4;46;73
..Junho/2008;7;1;4;10;3;19;44
..Julho/2008;4;-;4;4;9;31;52
..Agosto/2008;6;1;3;4;3;29;46
..Setembro/2008;9;8;11;6;4;23;61
..Outubro/2008;5;2;5;9;6;27;54
..Novembro/2008;3;1;1;3;4;25;37
..Dezembro/2008;3;3;6;4;8;33;57
2009;75;18;52;60;67;337;609
..Janeiro/2009;4;3;7;4;5;26;49
..Fevereiro/2009;4;1;7;4;5;24;45
..Mar�o/2009;7;3;4;4;11;24;53
..Abril/2009;7;1;6;7;12;45;78
..Maio/2009;3;3;2;8;4;29;49
..Junho/2009;9;1;7;6;3;28;54
..Julho/2009;11;-;4;8;4;33;60
..Agosto/2009;12;2;2;8;7;31;62
..Setembro/2009;3;2;3;4;5;29;46
..Outubro/2009;7;-;2;3;5;24;41
..Novembro/2009;5;1;4;2;2;26;40
..Dezembro/2009;3;1;4;2;4;18;32
2010;73;15;28;68;64;292;540
..Janeiro/2010;13;1;7;6;6;22;55
..Fevereiro/2010;5;2;-;4;6;19;36
..Mar�o/2010;6;-;-;5;2;18;31
..Abril/2010;9;4;1;9;3;25;51
