Ano/m�s do �bito;Janeiro;Fevereiro;Mar�o;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
periodototal;154;149;164;142;191;167;151;146;130;131;150;148;1823
..Janeiro/2006;154;-;-;-;-;-;-;-;-;-;-;-;154
..Fevereiro/2006;-;149;-;-;-;-;-;-;-;-;-;-;149
..Mar�o/2006;-;-;164;-;-;-;-;-;-;-;-;-;164
..Abril/2006;-;-;-;142;-;-;-;-;-;-;-;-;142
..Maio/2006;-;-;-;-;191;-;-;-;-;-;-;-;191
..Junho/2006;-;-;-;-;-;167;-;-;-;-;-;-;167
..Julho/2006;-;-;-;-;-;-;151;-;-;-;-;-;151
..Agosto/2006;-;-;-;-;-;-;-;146;-;-;-;-;146
..Setembro/2006;-;-;-;-;-;-;-;-;130;-;-;-;130
..Outubro/2006;-;-;-;-;-;-;-;-;-;131;-;-;131
..Novembro/2006;-;-;-;-;-;-;-;-;-;-;150;-;150
..Dezembro/2006;-;-;-;-;-;-;-;-;-;-;-;148;148
2007;143;148;159;145;134;162;152;132;133;141;128;133;1710
..Janeiro/2007;143;-;-;-;-;-;-;-;-;-;-;-;143
..Fevereiro/2007;-;148;-;-;-;-;-;-;-;-;-;-;148
..Mar�o/2007;-;-;159;-;-;-;-;-;-;-;-;-;159
..Abril/2007;-;-;-;145;-;-;-;-;-;-;-;-;145
..Maio/2007;-;-;-;-;134;-;-;-;-;-;-;-;134
..Junho/2007;-;-;-;-;-;162;-;-;-;-;-;-;162
..Julho/2007;-;-;-;-;-;-;152;-;-;-;-;-;152
..Agosto/2007;-;-;-;-;-;-;-;132;-;-;-;-;132
..Setembro/2007;-;-;-;-;-;-;-;-;133;-;-;-;133
..Outubro/2007;-;-;-;-;-;-;-;-;-;141;-;-;141
..Novembro/2007;-;-;-;-;-;-;-;-;-;-;128;-;128
..Dezembro/2007;-;-;-;-;-;-;-;-;-;-;-;133;133
2008;141;136;150;189;148;140;133;135;133;135;124;163;1727
..Janeiro/2008;141;-;-;-;-;-;-;-;-;-;-;-;141
..Fevereiro/2008;-;136;-;-;-;-;-;-;-;-;-;-;136
..Mar�o/2008;-;-;150;-;-;-;-;-;-;-;-;-;150
..Abril/2008;-;-;-;189;-;-;-;-;-;-;-;-;189
..Maio/2008;-;-;-;-;148;-;-;-;-;-;-;-;148
..Junho/2008;-;-;-;-;-;140;-;-;-;-;-;-;140
..Julho/2008;-;-;-;-;-;-;133;-;-;-;-;-;133
..Agosto/2008;-;-;-;-;-;-;-;135;-;-;-;-;135
..Setembro/2008;-;-;-;-;-;-;-;-;133;-;-;-;133
..Outubro/2008;-;-;-;-;-;-;-;-;-;135;-;-;135
..Novembro/2008;-;-;-;-;-;-;-;-;-;-;124;-;124
..Dezembro/2008;-;-;-;-;-;-;-;-;-;-;-;163;163
2009;140;110;149;157;161;157;148;164;122;139;122;116;1685
..Janeiro/2009;140;-;-;-;-;-;-;-;-;-;-;-;140
..Fevereiro/2009;-;110;-;-;-;-;-;-;-;-;-;-;110
..Mar�o/2009;-;-;149;-;-;-;-;-;-;-;-;-;149
..Abril/2009;-;-;-;157;-;-;-;-;-;-;-;-;157
..Maio/2009;-;-;-;-;161;-;-;-;-;-;-;-;161
..Junho/2009;-;-;-;-;-;157;-;-;-;-;-;-;157
..Julho/2009;-;-;-;-;-;-;148;-;-;-;-;-;148
..Agosto/2009;-;-;-;-;-;-;-;164;-;-;-;-;164
..Setembro/2009;-;-;-;-;-;-;-;-;122;-;-;-;122
..Outubro/2009;-;-;-;-;-;-;-;-;-;139;-;-;139
..Novembro/2009;-;-;-;-;-;-;-;-;-;-;122;-;122
